Numer Komandosa;Numer Misji
41;40
18;17
110;2
134;3
179;35
65;43
142;25
48;36
120;22
17;12
48;45
170;50
77;26
64;41
155;28
54;40
163;2
77;35
122;3
185;50
9;26
70;39
27;34
132;23
90;17
196;35
97;10
152;10
55;4
106;22
108;41
82;22
176;41
30;48
145;35
133;15
193;20
76;45
16;40
104;34
182;8
199;24
56;30
120;33
183;37
195;2
93;24
56;39
57;4
94;23
33;13
126;30
149;32
181;30
5;39
66;25
144;45
99;31
116;47
167;31
72;22
153;11
179;39
109;17
180;13
108;6
91;20
151;4
95;36
85;4
58;26
133;38
53;48
187;18
79;12
64;48
135;44
27;38
187;27
136;9
147;18
82;17
162;37
139;14
153;13
88;42
40;20
77;14
63;31
25;47
82;44
139;32
100;25
180;15
23;13
4;18
155;16
176;2
172;47
14;37
124;28
140;24
24;14
30;27
180;45
76;33
65;33
47;6
136;38
193;35
68;47
192;37
86;28
58;21
95;40
51;15
184;42
166;36
189;1
66;4
160;29
50;26
58;39
144;42
36;36
130;25
187;22
127;35
161;3
71;12
161;12
164;29
145;25
33;37
188;5
54;14
85;47
112;31
138;50
189;40
115;36
168;17
140;1
138;13
160;13
166;29
197;7
12;35
127;19
105;19
4;31
2;6
34;41
82;5
116;37
36;47
159;17
59;49
5;41
156;18
45;4
183;11
38;20
131;37
169;21
30;49
22;11
129;49
122;43
177;22
69;16
4;15
127;12
159;47
27;19
142;40
115;1
58;34
7;50
28;27
56;43
185;47
156;11
190;43
116;39
179;22
82;16
200;20
15;20
177;6
13;32
32;45
26;38
75;4
107;2
88;7
190;27
91;24
36;33
125;26
110;37
200;4
127;32
46;10
173;29
164;26
88;25
116;41
60;36
85;35
76;32
97;9
163;46
115;24
67;14
124;29
150;48
39;43
127;25
56;38
93;23
33;9
94;22
25;14
12;44
146;14
129;28
121;24
22;8
48;27
120;13
21;10
130;45
95;23
21;19
79;36
69;13
7;29
26;42
101;45
119;26
62;38
108;5
49;1
8;30
169;2
151;21
160;33
38;10
129;21
163;23
175;6
197;36
120;15
33;32
166;12
45;15
27;9
72;41
127;11
9;4
144;36
180;32
77;40
39;1
169;4
182;38
43;26
177;5
44;34
95;18
197;38
175;17
141;15
133;2
124;8
87;23
71;36
59;16
81;46
162;10
3;20
31;36
25;2
110;36
119;39
160;19
163;18
129;16
196;22
74;25
112;9
40;2
148;38
120;1
83;46
72;9
27;41
