Numer komandosa;Numer umiejetnosci
141;8
80;1
61;6
91;7
83;3
11;5
156;5
95;4
53;7
64;7
34;3
45;3
190;3
37;8
99;1
65;8
57;4
121;7
7;3
125;4
30;4
19;4
114;3
167;6
159;2
106;8
53;2
117;5
45;7
148;1
163;8
129;6
132;2
38;4
71;1
7;7
125;8
44;1
25;6
159;6
56;2
148;5
18;2
48;3
71;5
110;5
174;8
108;8
189;5
170;1
56;6
22;4
34;6
67;3
181;6
121;1
196;4
90;4
165;7
101;4
48;7
63;5
40;3
193;7
29;3
185;3
177;8
158;4
124;2
135;2
75;6
127;7
93;5
116;7
108;3
10;7
25;5
147;3
109;4
184;7
22;8
14;4
70;3
196;8
113;1
154;2
79;8
123;5
29;7
143;1
177;3
60;3
135;6
124;6
2;7
117;3
169;4
184;2
109;8
97;6
89;2
153;5
59;7
17;1
181;5
196;3
173;1
9;6
146;2
63;4
199;4
127;6
108;2
184;6
67;6
78;6
119;7
5;3
28;5
162;5
173;5
165;1
112;4
6;4
29;6
135;5
124;5
168;2
157;2
180;4
51;2
192;5
150;8
89;1
142;4
153;4
119;2
55;8
36;4
77;5
111;7
165;5
131;3
146;1
123;8
179;7
20;1
31;1
168;6
108;1
32;2
16;3
150;3
161;3
195;1
187;6
179;2
62;2
137;5
73;2
4;6
149;6
32;6
43;6
35;2
100;6
152;7
77;4
5;6
27;3
187;1
19;8
81;1
179;6
122;2
138;1
160;1
32;1
118;4
144;7
27;7
42;5
19;3
176;5
187;5
11;8
122;6
137;4
106;7
190;6
130;1
182;2
171;2
118;8
96;8
76;2
163;7
65;2
57;7
49;3
175;8
30;7
8;7
122;1
114;6
95;2
64;5
53;5
190;1
96;3
171;6
65;6
57;2
68;2
26;5
7;1
152;1
175;3
110;4
125;2
30;2
94;5
52;8
137;3
167;4
189;4
72;4
84;6
34;5
65;1
151;4
140;4
57;6
68;6
46;6
193;6
185;2
174;2
27;1
91;4
19;6
60;7
106;1
72;8
117;7
139;7
120;3
37;5
14;3
3;3
148;3
171;5
140;8
98;2
196;7
79;7
90;7
60;2
94;4
52;7
186;7
44;3
197;7
25;8
72;3
159;8
117;2
34;4
59;6
140;3
181;4
90;2
82;7
63;3
6;8
155;6
177;6
10;5
189;7
147;1
136;1
139;6
22;6
14;2
89;5
173;4
90;6
63;7
40;5
21;1
185;5
177;1
124;4
93;7
33;2
2;5
200;8
117;1
22;1
86;4
55;7
70;5
181;3
173;8
9;4
79;1
90;1
48;4
123;7
112;7
115;3
199;2
105;4
191;7
44;6
74;7
85;7
51;5
66;3
10;4
139;5
169;6
97;8
78;4
142;7
67;4
181;7
28;3
196;5
165;8
112;2
6;2
143;7
93;6
74;2
138;5
2;4
32;5
35;1
13;1
184;8
172;6
165;3
131;1
112;6
179;5
39;3
54;1
199;1
31;8
116;3
168;4
130;5
24;5
35;5
16;1
150;1
184;3
47;6
28;2
58;3
50;8
198;4
115;6
54;5
20;3
199;5
23;8
85;1
51;8
118;7
88;3
161;5
153;1
100;4
77;2
195;3
198;8
115;1
81;8
73;4
137;7
31;7
51;3
160;8
107;2
1;2
88;7
38;6
134;1
175;2
111;8
69;2
144;5
50;7
195;7
164;1
187;3
11;6
122;4
54;4
84;5
106;5
23;7
107;6
88;2
163;5
16;4
68;5
49;1
38;1
141;4
58;6
69;6
50;2
61;2
125;5
145;1
167;7
12;2
87;5
23;2
53;3
4;7
45;8
126;5
107;1
96;1
194;5
18;8
