Owoc Sztuki
Papaja 10
Malina 9
Kaki 6
Renkloda 1
Aronia 4
Ananas 2
Winogrono 4
Pigwa 10
Liczi 1
Guawa 8
Jagoda 10
Awokado 7
Winogrono 6
Poziomka 4
Figa 6
Aronia 5
Poziomka 9
Mandarynka 4
Nektarynka 7
Truskawka 3
Kokos 9
Granat 3
Granat 1
Brzoskwinia 4
Nektarynka 4
Poziomka 1
Jagoda 8
Aronia 7
Winogrono 7
Kiwi 9
Granat 10
Guawa 5
Grejpfrut 1
Arbuz 7
Rokitnik 5
Figa 9
Opuncja 4
Porzeczka 1
Agrest 1
Papaja 3
Kokos 1
Granat 2
Tarnina 3
Granat 4
Awokado 6
Figa 5
Daktyl 10
Agrest 8
Papaja 10
Limonka 4
Porzeczka 5
Melon 9
Brzoskwinia 5
Figa 8
Granat 8
Daktyl 3
Banan 6
Liczi 7
Melon 7
Nektarynka 9
Agrest 4
Renkloda 10
Grejpfrut 9
Guawa 5
Kaki 2
Tarnina 9
Kaki 8
Poziomka 1
Winogrono 7
Granat 8
Malina 3
Daktyl 3
Liczi 10
Aronia 1
Kumkwat 10
Banan 1
Morela 7
Papaja 9
Winogrono 10
Pigwa 10
Aronia 1
Pigwa 5
Figa 10
Nektarynka 8
Arbuz 9
Renkloda 9
Jagoda 9
Granat 7
Melon 7
Banan 6
Liczi 2
Figa 9
Jagoda 6
Jagoda 9
Winogrono 7
Brzoskwinia 8
Daktyl 4
Rokitnik 4
Rokitnik 6
Awokado 3
Kaki 10
Ananas 8
Renkloda 8
Pigwa 2
Kumkwat 2
Liczi 8
Mango 10
Rokitnik 1
Pigwa 9
Pigwa 8
Cytryna 2
Winogrono 5
Pigwa 8
Nektarynka 1
Granat 5
Agrest 7
Daktyl 6
Opuncja 6
Gruszka 10
Awokado 2
Papaja 7
Aronia 3
Agrest 4
Opuncja 3
Malina 10
Nektarynka 4
Poziomka 5
Melon 9
Winogrono 8
Arbuz 2
Melon 4
Malina 1
Grejpfrut 6
Melon 1
Winogrono 9
Granat 2
Cytryna 2
Morela 7
Renkloda 3
Poziomka 4
Opuncja 1
Awokado 2
Mandarynka 9
Poziomka 6
Mango 2
Daktyl 3
Rokitnik 6
Mango 1
Mango 2
Kokos 1
Ananas 2
Limonka 6
Grejpfrut 3
Melon 6
Brzoskwinia 5
Mandarynka 3
Rokitnik 7
Banan 8
Figa 4
Limonka 9
Nektarynka 10
Pigwa 1
Limonka 9
Arbuz 8
Aronia 9
Mango 2
Figa 1
Nektarynka 1
Grejpfrut 4
Papaja 9
Malina 5
Liczi 6
Mango 3
Guawa 9
Porzeczka 8
Nektarynka 10
Rokitnik 6
Rokitnik 6
Gruszka 5
Truskawka 4
Liczi 7
Limonka 4
Figa 2
Ananas 4
Truskawka 6
Awokado 1
Awokado 5
Grejpfrut 4
Melon 4
Guawa 3
Grejpfrut 10
Awokado 8
Mango 8
Daktyl 5
Morela 2
Ananas 6
Awokado 3
Melon 4
Opuncja 6
Winogrono 2
Malina 5
Kaki 5
Rokitnik 6
Papaja 4
Opuncja 4
Grejpfrut 7
Mango 8
Agrest 3
Poziomka 2
Morela 2
Nektarynka 9
Morela 2
Morela 5
Agrest 7
Aronia 4
Mandarynka 5
Mandarynka 7
Figa 5
Kokos 3
Jagoda 4
Melon 5
Porzeczka 9
Renkloda 8
Banan 4
Liczi 2
Ananas 3
Pigwa 1
Rokitnik 6
Rokitnik 6
Opuncja 5
Winogrono 8
Porzeczka 10
Opuncja 4
Mandarynka 8
Arbuz 6
Kokos 10
Mango 9
Winogrono 7
Mango 10
Melon 5
Winogrono 4
Ananas 7
Mandarynka 4
Grejpfrut 9
Opuncja 6
Cytryna 4
Kaki 1
Liczi 6
Ananas 6
Renkloda 10
Grejpfrut 10
Nektarynka 9
Malina 1
Malina 5
Pigwa 6
Gruszka 5
Aronia 5
Guawa 10
Brzoskwinia 7
Malina 2
Cytryna 4
Truskawka 4
Figa 2
Malina 2
Awokado 6
Grejpfrut 1
Agrest 4
Banan 10
Mandarynka 5
Pigwa 10
Melon 1
Figa 7
Porzeczka 7
Poziomka 2
Renkloda 10
Papaja 3
Brzoskwinia 10
Malina 3
Melon 6
Figa 3
Banan 8
Tarnina 7
Guawa 5
Kaki 2
Figa 1
Rokitnik 4
Granat 1
Cytryna 7
Melon 3
Brzoskwinia 8
Liczi 10
Kokos 3
Opuncja 2
Malina 3
Renkloda 1
Kiwi 4
Porzeczka 1
Opuncja 5
Cytryna 9
Kaki 7
Papaja 8
Poziomka 7
Brzoskwinia 4
Kumkwat 8
Renkloda 7
Gruszka 6
Ananas 10
Mandarynka 10
Melon 6
Renkloda 4
Gruszka 3
Jagoda 7
Gruszka 10
Liczi 9
Guawa 4
Opuncja 5
Melon 3
Papaja 6
Pigwa 5
Guawa 10
Grejpfrut 4
Mango 6
Kokos 3
Agrest 1
Kumkwat 8
Opuncja 2
Tarnina 10
Figa 8
Opuncja 3
Agrest 2
Truskawka 6
Arbuz 7
Daktyl 5
Papaja 1
Nektarynka 1
Kiwi 10
Daktyl 6
Kaki 3
Kiwi 8
Morela 8
Limonka 5
Figa 9
Brzoskwinia 10
Cytryna 8
Truskawka 6
Melon 2
Papaja 10
Daktyl 8
