Id postaci;Id ekwipunku
128;41
92;23
123;22
184;11
59;8
168;39
107;28
115;6
196;35
10;48
111;40
64;9
31;42
141;34
142;49
64;33
106;41
56;23
115;48
124;48
98;35
12;26
16;11
19;41
153;17
158;43
6;16
168;4
159;12
27;45
177;11
38;39
100;10
157;9
141;2
43;29
64;30
186;39
101;8
26;27
128;25
200;47
33;17
144;17
43;49
44;45
193;16
148;48
1;1
190;44
36;2
111;43
102;44
169;18
21;40
67;33
11;30
161;33
186;38
37;3
12;49
94;16
37;9
159;14
1;41
118;50
113;33
192;47
43;37
146;24
86;11
47;6
109;47
46;4
77;29
136;16
178;16
64;17
57;48
120;13
2;31
3;40
136;47
26;47
110;17
9;22
164;11
153;35
58;50
113;17
75;1
96;43
74;23
155;46
191;47
148;20
181;32
10;7
117;7
131;6
20;9
117;13
39;2
131;41
28;4
32;27
157;38
8;11
166;29
160;16
14;41
148;27
102;12
186;30
140;30
75;15
9;32
177;22
112;2
58;16
167;33
111;13
159;38
10;4
103;16
57;8
84;10
109;7
85;14
161;7
105;17
188;33
37;24
38;27
143;50
169;29
199;12
4;27
55;19
3;18
165;21
57;1
199;25
147;42
65;25
90;42
2;4
45;22
170;32
73;15
68;15
115;44
62;26
131;45
197;37
183;38
131;36
8;29
6;45
71;27
53;42
37;26
195;16
165;20
156;7
136;18
126;48
31;42
50;4
188;5
14;23
102;25
164;43
169;30
185;44
103;48
21;6
151;27
192;27
149;3
38;42
113;42
69;7
186;48
18;26
12;1
133;23
159;5
89;30
69;35
200;34
6;29
72;1
179;11
118;1
126;34
114;29
114;10
197;9
108;32
193;12
167;15
58;10
166;6
109;14
115;34
45;9
77;23
81;14
132;39
200;23
121;50
200;48
2;17
150;7
74;35
109;50
139;18
95;10
25;9
38;31
184;32
157;26
96;18
158;45
199;43
112;1
57;46
149;29
162;30
105;29
27;17
2;21
13;3
145;50
135;18
167;16
14;23
94;7
36;40
1;20
174;23
84;5
178;17
29;44
31;6
82;49
182;40
184;33
191;5
144;33
71;25
22;18
76;39
103;44
147;50
47;32
78;22
100;40
88;15
52;18
145;21
149;45
59;50
31;44
165;3
97;14
161;27
98;18
194;3
145;4
46;39
67;41
120;42
46;31
20;20
183;13
145;42
194;17
172;38
25;22
51;31
134;24
59;34
79;40
183;35
2;21
156;15
85;49
63;37
126;13
74;4
120;10
28;4
104;9
71;40
71;9
109;14
3;45
69;16
183;40
162;1
159;9
119;27
158;45
124;37
101;36
51;43
58;15
58;1
62;12
152;45
166;17
6;3
75;19
74;20
134;47
2;27
30;26
192;29
57;3
184;41
92;20
59;38
149;39
169;8
105;47
92;25
126;32
167;23
181;27
44;26
127;19
60;33
179;11
18;32
50;44
109;10
77;20
21;33
136;11
19;40
92;10
81;21
141;8
64;15
193;27
190;43
110;24
38;35
171;27
114;29
34;10
32;33
113;28
171;30
81;34
112;11
178;40
17;46
75;43
139;35
101;45
77;31
68;28
65;3
115;41
95;38
13;7
82;39
26;49
190;6
134;31
164;5
50;2
136;29
84;14
107;50
154;25
177;33
26;4
17;1
144;26
148;38
164;13
178;13
197;27
11;16
80;26
79;27
181;42
94;11
107;36
154;45
163;31
27;7
184;15
58;16
32;31
127;20
45;39
97;36
137;10
146;11
25;7
52;34
133;27
86;39
83;27
6;13
182;21
20;29
149;13
161;23
173;14
172;47
14;30
195;6
180;17
197;17
142;22
51;23
152;5
134;2
49;2
139;39
148;15
159;47
76;23
142;7
157;35
162;18
122;15
89;1
19;19
78;23
111;25
64;50
119;37
162;15
145;43
80;14
9;34
26;3
141;21
191;19
10;30
95;2
122;20
168;13
168;19
90;19
137;28
189;14
110;44
53;11
106;50
89;28
126;48
28;29
117;48
43;36
56;20
76;49
17;33
36;29
170;30
152;38
50;12
129;32
78;41
102;16
156;49
183;11
70;13
184;25
162;25
24;29
30;30
80;38
100;9
190;28
192;40
84;44
132;3
128;49
56;42
1;35
18;9
167;45
92;41
1;33
60;48
148;25
21;33
153;25
91;28
34;22
44;6
164;15
