Numer stolika;Kwota zamowienia;Rodzaj zamowienia;Data;Godzina
2;55,16;9;01.10.2023;22:38:25
10;6,47;10;10.08.2023;18:42:57
6;114,99;19;18.08.2023;12:20:58
9;125,27;23;02.01.2023;19:23:44
1;44,42;9;08.06.2023;12:08:14
1;168,75;21;28.05.2023;10:57:33
5;85,69;22;29.04.2023;12:40:46
8;51,12;8;13.07.2023;16:49:48
6;18,60;19;12.03.2023;14:20:19
6;68,78;21;16.03.2023;14:25:04
5;115,38;11;20.10.2023;21:42:19
10;115,17;22;16.03.2023;21:29:27
1;95,18;1;08.10.2023;22:09:55
10;143,24;6;20.10.2023;11:34:58
7;98,97;21;05.01.2023;12:14:33
7;122,70;24;12.03.2023;14:31:27
2;194,00;19;24.04.2023;20:14:05
10;126,10;31;24.11.2023;20:45:39
8;5,11;11;20.12.2023;12:43:14
2;190,83;22;01.12.2023;11:05:33
2;100,12;14;28.08.2023;17:26:26
10;55,78;27;09.08.2023;11:14:42
10;51,06;13;14.12.2023;14:19:10
3;185,68;2;18.03.2023;19:56:38
6;68,40;15;17.07.2023;10:16:28
4;185,76;11;02.06.2023;22:48:53
9;174,05;25;12.02.2023;15:50:26
3;176,38;22;12.09.2023;16:44:25
5;17,33;28;04.06.2023;14:11:01
8;39,42;17;01.02.2023;13:04:19
2;133,87;26;17.11.2023;21:19:10
7;143,19;7;05.08.2023;10:22:56
10;75,78;12;18.02.2023;20:05:53
3;189,70;26;18.02.2023;21:21:44
5;118,34;28;11.01.2023;13:53:17
6;170,77;24;08.02.2023;22:54:01
3;84,00;18;27.08.2023;22:00:18
4;96,42;1;29.10.2023;12:24:37
10;88,16;4;24.08.2023;20:24:35
7;66,69;14;13.08.2023;19:33:29
3;195,79;8;28.10.2023;17:30:01
7;21,32;31;14.07.2023;16:51:19
8;40,82;28;11.11.2023;12:04:42
8;150,94;7;22.05.2023;19:11:17
5;5,78;17;22.06.2023;16:26:38
10;69,29;21;23.06.2023;21:24:12
8;92,10;3;19.05.2023;11:06:47
6;152,38;30;01.09.2023;20:03:39
8;68,89;14;22.03.2023;13:39:21
10;188,45;14;26.12.2023;11:22:08
3;196,76;18;10.02.2023;21:17:51
3;12,16;11;27.08.2023;22:58:09
5;188,50;26;21.12.2023;12:03:29
7;145,61;6;27.03.2023;18:16:30
10;30,62;12;19.07.2023;20:40:48
5;65,05;9;17.05.2023;14:59:01
2;174,64;28;23.12.2023;20:20:55
2;195,38;10;20.04.2023;16:39:58
3;75,30;6;06.09.2023;21:58:49
7;35,32;21;29.10.2023;15:11:02
1;98,39;17;18.08.2023;12:50:42
2;195,82;11;26.06.2023;14:06:25
1;28,83;4;16.04.2023;10:56:07
9;121,93;3;26.02.2023;22:20:15
6;152,69;13;03.01.2023;16:39:01
7;74,18;10;07.03.2023;10:11:14
10;57,76;11;21.09.2023;13:19:17
8;155,13;20;11.02.2023;11:48:41
1;141,23;25;10.12.2023;22:51:15
3;8,14;6;18.12.2023;13:39:11
1;77,14;30;04.06.2023;19:01:45
3;107,34;10;11.07.2023;15:29:55
9;187,64;14;07.03.2023;19:03:52
6;71,37;9;27.11.2023;10:36:16
5;144,86;17;11.03.2023;17:40:51
9;52,38;24;29.06.2023;20:12:35
5;100,20;14;20.03.2023;21:05:21
1;24,59;9;02.10.2023;12:05:37
3;66,03;21;14.09.2023;11:30:03
4;7,75;30;02.09.2023;22:54:55
8;126,61;26;06.12.2023;10:36:47
10;157,54;26;23.12.2023;18:06:33
9;141,87;30;08.04.2023;13:49:15
7;156,79;1;08.06.2023;14:26:09
5;188,89;15;22.01.2023;19:18:04
10;70,87;19;30.06.2023;12:16:03
7;111,69;18;26.10.2023;21:32:23
1;122,17;30;14.12.2023;20:43:30
1;183,18;3;10.11.2023;19:26:21
2;19,29;11;05.09.2023;14:42:57
