Id;Nazwa;Cena
1;jablko;8,78
2;banan;7,75
3;pomarancza;428,47
4;mandarynka;88701,95
5;grapefruit;2,33
6;limonka;25,09
7;cytryna;519,11
8;kiwi;15,69
9;mango;388,68
10;ananas;7,38
11;awokado;772,08
12;papaja;86,06
13;figa;698,61
14;granat;9,38
15;agrest;9040,26
16;sliwka;123,47
17;brzoskwinia;42,32
18;nektarynka;336,16
19;malina;9,22
20;jagoda;825,62
21;truskawka;97,36
22;porzeczka;76,23
23;borowka amerykanska;65662,29
24;winogrono;6748,59
25;melon;5411,30
26;arbuz;62,44
27;gruszka;1173,02
28;kaki;3,72
29;kokos;316,12
30;durian;8251,69
31;pomidor;8562,95
32;ogorek;388,48
33;salata;5490,87
34;szpinak;9,64
35;brokul;1,57
36;kalafior;56,12
37;brukselka;4,58
38;kapusta;257,50
39;marchew;273,36
40;burak;67,62
41;ziemniak;18591,48
42;slodki ziemniak;7,14
43;cebula;2348,99
44;czosnek;254,29
45;por;925,26
46;rzodkiewka;887,21
47;seler;83480,17
48;fasolka szparagowa;962,81
49;groszek;9,47
50;kukurydza;59373,55
51;papryka;8,38
52;baklazan;76685,73
53;dynia;1759,60
54;kabaczek;434,61
55;cukinia;489,11
56;batat;92099,43
57;jarmuz;3,91
58;szparag;762,28
59;karczoch;859,70
60;endywia;618,51
