Id;Artykul id;Klient id;Liczba kg;Data zamowienia
1;51;19;34;2022-06-15
2;17;3;36;2020-08-12
3;32;44;10;2020-07-07
4;6;39;1;2022-08-06
5;40;36;19;2023-04-06
6;46;73;48;2021-06-24
7;18;68;40;2021-11-26
8;21;53;31;2023-11-16
9;44;72;50;2023-11-13
10;3;26;47;2020-08-27
11;38;63;47;2020-08-03
12;35;71;42;2023-03-22
13;34;67;37;2022-06-21
14;26;58;17;2021-07-06
15;45;82;26;2020-08-01
16;41;64;23;2019-10-10
17;8;36;30;2020-02-13
18;7;62;20;2022-02-22
19;15;2;11;2023-03-12
20;24;100;11;2020-08-12
21;54;82;13;2023-11-16
22;29;49;17;2019-09-03
23;60;99;16;2021-09-09
24;48;23;34;2020-11-20
25;35;1;23;2022-03-30
26;6;58;38;2022-05-09
27;22;85;35;2020-06-11
28;28;67;38;2021-02-27
29;32;34;42;2020-05-14
30;53;99;43;2022-05-13
31;26;93;20;2021-07-01
32;19;81;3;2020-06-13
33;10;10;46;2021-08-24
34;42;58;16;2022-09-06
35;31;3;9;2021-12-13
36;47;12;31;2019-06-16
37;17;82;1;2020-08-25
38;2;65;10;2024-02-17
39;38;81;49;2020-02-20
40;5;84;43;2022-11-27
41;21;45;48;2022-06-18
42;24;85;38;2024-01-25
43;6;32;16;2020-12-14
44;6;13;46;2021-01-21
45;41;30;11;2020-11-04
46;54;49;41;2022-10-05
47;22;46;40;2020-01-13
48;26;89;24;2024-02-01
49;39;24;36;2019-11-30
50;29;5;43;2019-05-10
51;41;2;41;2022-03-29
52;52;29;19;2022-10-28
53;24;48;25;2019-06-26
54;41;32;12;2020-11-10
55;6;61;1;2024-01-29
56;20;48;31;2022-12-07
57;41;12;30;2024-01-05
58;2;100;1;2022-01-06
59;51;23;24;2024-02-08
60;57;38;1;2022-01-28
61;10;24;5;2020-03-29
62;57;93;50;2022-10-08
63;5;14;14;2021-10-19
64;37;64;31;2020-04-02
65;59;98;24;2021-07-09
66;38;82;36;2020-05-11
67;16;100;10;2019-04-22
68;7;43;32;2020-10-14
69;26;13;19;2022-04-21
70;11;68;50;2020-02-07
71;4;94;29;2019-12-09
72;31;14;2;2020-04-21
73;22;44;13;2021-12-12
74;58;56;6;2021-03-24
75;42;76;19;2023-05-05
76;14;99;44;2023-07-30
77;53;92;44;2023-04-09
78;51;6;32;2021-09-26
79;41;15;20;2019-06-10
80;36;84;37;2019-05-13
81;13;75;13;2019-08-16
82;29;22;41;2024-02-03
83;14;29;27;2020-04-03
84;28;28;18;2024-01-18
85;44;70;27;2019-07-26
86;47;41;1;2020-01-18
87;40;14;36;2021-03-14
88;13;37;31;2023-05-23
89;60;11;48;2022-04-28
90;32;96;28;2023-05-24
91;33;4;46;2022-05-23
92;51;78;41;2022-05-13
93;22;31;45;2023-04-29
94;46;80;4;2019-11-25
95;41;82;10;2020-12-30
96;30;55;14;2021-04-02
97;45;92;50;2020-03-12
98;57;89;16;2020-07-01
99;38;56;25;2023-09-30
100;48;9;40;2023-04-04
101;43;44;24;2022-10-17
102;8;52;8;2021-04-19
103;60;14;48;2020-01-04
104;31;88;7;2020-05-16
105;49;42;45;2023-12-07
106;45;74;25;2023-03-02
107;15;69;4;2019-07-29
108;31;37;28;2022-05-06
109;16;80;22;2019-06-20
110;37;65;21;2019-10-27
111;14;33;25;2021-02-24
112;30;38;11;2021-12-17
113;18;58;12;2023-06-21
114;52;3;26;2022-04-09
115;33;96;21;2020-04-08
116;54;87;5;2021-09-01
117;34;99;8;2022-07-22
118;53;65;24;2021-02-04
119;13;55;45;2022-06-01
120;19;49;36;2022-11-22
121;55;57;48;2023-12-04
122;4;79;46;2022-07-10
123;25;81;13;2022-06-25
124;2;61;17;2020-04-29
125;19;6;30;2023-08-21
126;57;48;12;2019-12-24
127;35;9;43;2022-01-31
128;29;81;43;2021-11-22
129;14;70;28;2024-01-15
130;11;44;22;2022-11-14
131;58;45;50;2020-10-15
132;43;47;43;2019-12-24
133;60;83;50;2021-12-13
134;29;29;10;2021-11-02
135;39;98;49;2020-04-22
136;29;71;12;2023-11-12
137;45;11;39;2021-08-13
138;31;43;27;2021-02-16
139;43;79;35;2022-07-17
140;3;19;29;2019-11-07
141;4;78;32;2023-04-14
142;42;98;29;2021-07-24
143;9;48;8;2023-08-19
144;60;26;16;2021-12-04
145;34;51;33;2021-09-30
146;28;46;6;2021-10-21
147;23;24;29;2021-12-09
148;60;12;4;2023-09-09
149;18;75;49;2020-08-10
150;43;77;27;2024-03-10
151;8;67;49;2020-10-31
