Kraj	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	17804292964,10	20001598505,70	20561069558,22	20484885119,73	19907111418,99	18017749073,90	18869945677,96	18353881129,88
Angola	111789686464,44	128052853643,11	136709862831,19	145712200312,51	116193649124,15	101123851090,46	122123822333,59	101353230784,59
Albania	12890765324,23	12319830252,48	12776217194,79	13228144008,34	11386846319,16	11861200797,47	13019693450,88	15147020535,39
Andorra	3629203786,19	3188808942,57	3193704343,21	3271808157,30	2789870187,51	2896679211,87	3000180750,11	3218316013,23
Arab World	2494028778449,34	2773499064014,84	2856372458851,04	2894391168409,53	2534723688142,23	2469440154484,43	2516121177762,82	2771384097904,53
United Arab Emirates	350666031313,82	374590605854,32	390107556160,65	403137100068,07	358135057862,49	357045064669,84	385605506854,88	422215043584,97
Argentina	530163281574,66	545982375701,13	552025140252,25	526319673731,64	594749285413,21	557531376217,97	643628665302,67	517626700412,72
Armenia	10142111334,50	10619320048,59	11121465767,41	11609512939,75	10553337672,99	10546135160,03	11527458565,73	12457941907,03
American Samoa	574000000,00	644000000,00	641000000,00	642000000,00	661000000,00	652000000,00	602000000,00	636000000,00
Antigua and Barbuda	1137637037,04	1199948148,15	1181448148,15	1249733333,33	1336692592,59	1436585185,19	1467977777,78	1605351851,85
Australia	1396649906339,35	1546151783872,96	1576184467015,49	1467483705131,74	1351693984524,50	1208846993739,99	1329188475752,32	1432881172002,17
Austria	431120310088,82	409425234155,26	430068712971,87	441996131736,51	381817565893,57	395568644341,04	417237869115,93	455094861902,06
Azerbaijan	65951627200,20	69683935845,21	74164435946,46	75244294275,15	53074370486,04	37867518957,20	40865558912,39	47112941176,47
Burundi	2235820867,83	2333308099,46	2451625332,75	2705783272,07	3104394858,12	2959640987,30	3172292379,36	3036931818,18
Belgium	522645519183,59	496181260258,30	521642714407,84	534678075827,36	462149679343,82	475739588764,76	502698069366,94	543734366831,22
Benin	10693321953,64	11141358945,13	12517845732,21	13284528654,06	11388160958,25	11821066152,60	12701656930,69	14250985958,67
Burkina Faso	12080296644,06	12561016091,47	13444301139,14	13943016923,90	11832159275,60	12833363370,17	14106956830,09	16059910870,62
Bangladesh	128637938711,39	133355749482,48	149990451022,29	172885454931,45	195078678697,23	221415188000,48	249711027660,25	274039092455,31
Bulgaria	57386216850,34	54033250328,52	55615397665,58	56901994980,33	50647442756,74	53806894796,38	58971520599,25	66230155099,58
Bahrain	28776595744,68	30749308510,64	32539468085,11	33387712765,96	31050638297,87	32234973404,26	35473776595,74	37652500000,00
Bahamas, The	10070450000,00	10720500000,00	10568400000,00	11111600000,00	11710800000,00	11928500000,00	12490700000,00	13022100000,00
Bosnia and Herzegovina	18644723860,97	17226849297,07	18178503835,45	18558343508,34	16211541820,24	16913330693,97	18080118128,39	20183510561,26
Belarus	61757788944,72	65685102554,88	75527984234,23	78813839984,35	56454734396,58	47722657820,67	54726595249,18	60031262269,34
Belize	1460800000,00	1522900000,00	1579400000,00	1662800000,00	1723800000,00	1775100000,00	1836600000,00	1871200000,00
