Id;Nazwa;Wzrost;Waga;Data powstania
1;poczatek;287;177;2016-11-21
2;spoldzielnia;293;55;2018-12-08
3;drozdowicz;149;72;2008-07-06
4;peksa;186;157;2009-12-16
5;kut-kutek;240;166;2020-05-20
6;sus-kuliberda;300;146;2019-09-12
7;trojanek;266;115;2023-08-04
8;spoldzielnia;255;66;2011-02-22
9;ppuh;176;102;2005-12-22
10;spoldzielnia;157;116;2022-04-29
11;fpuh;104;104;2011-09-11
12;stowarzyszenie;270;163;2014-05-15
13;gabinety;277;63;2016-09-08
14;grupa;158;79;2013-01-03
15;spoldzielnia;290;94;2014-08-25
16;fundacja;271;164;2007-11-18
17;fundacja;130;62;2020-09-28
18;spoldzielnia;285;129;2012-06-25
19;gabinety;145;189;2008-07-25
20;gabinety;161;187;2022-07-24
21;grupa;180;174;2015-07-10
22;grupa;253;181;2004-09-08
23;stowarzyszenie;287;89;2008-12-23
24;fundacja;245;161;2015-10-03
25;fpuh;298;59;2018-11-07
26;ppuh;211;143;2009-05-25
27;fpuh;231;93;2014-07-28
28;stowarzyszenie;107;67;2008-11-14
29;gabinety;228;94;2010-02-08
30;grupa;263;89;2007-03-18
31;fpuh;110;169;2010-03-07
32;gabinety;104;103;2021-11-16
33;fundacja;169;63;2006-09-22
34;spoldzielnia;168;94;2014-03-19
35;fpuh;190;169;2009-02-04
36;spoldzielnia;115;196;2009-08-27
37;stowarzyszenie;131;146;2023-06-11
38;godyn;173;54;2017-04-01
39;fundacja;252;97;2011-08-05
40;linke;212;140;2007-10-11
41;stowarzyszenie;168;178;2008-01-23
42;grupa;186;68;2005-03-04
43;torz-kara;285;171;2005-04-04
44;spoldzielnia;158;131;2018-02-23
45;ppuh;178;192;2014-06-29
46;szumacher;266;131;2015-07-13
47;gabinety;252;139;2004-06-19
48;szczechowicz;267;187;2016-10-16
49;fpuh;152;116;2009-09-17
50;gabinety;298;122;2019-04-12
51;fundacja;280;166;2022-05-31
52;gabinety;190;88;2017-07-20
53;ppuh;178;198;2009-06-15
54;bork-wons;107;158;2009-12-06
55;fpuh;214;70;2009-12-11
56;fundacja;242;85;2023-01-25
57;dziewior-senator;163;50;2013-10-27
58;fpuh;276;181;2016-07-22
59;fpuh;127;86;2012-05-30
60;siara-hawro;114;180;2017-03-24
61;buksa;286;110;2009-09-05
62;gabinety;283;127;2015-08-11
63;jezyk-burchard;184;56;2017-02-02
64;siejak;185;148;2010-03-12
65;wojtasiewicz;297;117;2011-05-25
66;bryda;244;198;2022-03-26
67;tyka-zamora;270;116;2021-10-11
68;gabinety;262;151;2006-10-17
69;bartel;154;167;2018-10-25
70;bondaruk;264;180;2020-11-02
71;spoldzielnia;178;145;2016-05-09
72;spoldzielnia;245;113;2017-12-05
73;jeszke;254;181;2009-07-18
74;juras;186;142;2018-07-21
75;fpuh;293;99;2021-03-09
76;kurant;251;94;2023-02-23
77;gabinety;225;155;2008-08-16
78;ppuh;288;124;2010-11-04
79;gierak-irla;107;200;2016-07-07
80;ppuh;119;53;2014-04-18
81;stowarzyszenie;113;131;2019-02-07
82;pysz;140;148;2016-08-11
83;piersa;160;195;2009-09-20
84;grupa;274;66;2022-08-08
85;fundacja;119;91;2023-10-21
86;ppuh;187;145;2020-01-20
87;gabinety;126;94;2020-07-29
88;gabinety;103;88;2007-09-20
89;szczerbiak;218;101;2011-10-07
90;ubysz;178;102;2010-05-14
91;szkola-samson;291;124;2021-11-08
92;ppuh;188;173;2014-07-26
93;stowarzyszenie;107;119;2013-09-12
94;fundacja;218;96;2009-09-02
95;fpuh;138;101;2022-09-24
96;stowarzyszenie;115;178;2017-12-13
97;nestorowicz;175;143;2018-07-11
98;gnyp;291;197;2020-02-13
99;fundacja;282;119;2011-12-17
100;fundacja;183;185;2018-08-06
101;stowarzyszenie;225;116;2021-07-02
102;kontny-rycerz;163;106;2024-01-16
103;pasztaleniec;155;83;2013-07-05
104;liss;222;115;2012-08-15
